CASENUM	VEH_NO	WEIGHT	REGION	STRATUM	PJ	PSU	PSUSTRAT	PVE_Forms	PNUMOCCS	PMONTH	PHOUR	PMINUTE	PHARM_EV	PMAN_COLL	PTYPE	PHIT_RUN	PMAKE	PMODEL	PBODYTYP	PMODYEAR	PVIN	PTRAILER	PMCARR_I1	PMCARR_I2	PMCARR_ID	PGVWR	PV_CONFIG	PCARGTYP	PHAZ_INV	PHAZPLAC	PHAZ_ID	PHAZ_CNO	PHAZ_REL	PBUS_USE	PSP_USE	PEM_USE	PIMPACT1	PVEH_SEV	PTOWED	PM_HARM	PVEH_SC1	PVEH_SC2	PFIRE
201210712677	2	102.013604	1	6	21	3	1	1	0	1	0	43	14	0	2	0	99	999	99	9999	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	63	8	1	12	0	0	0
201210712677	3	102.013604	1	6	21	3	1	1	0	1	0	43	14	0	2	0	35	47	4	2002	1N4BL11D72C2	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	63	8	1	12	0	0	0
201210712738	2	49.74476	1	5	4	3	1	1	0	1	3	35	14	0	2	0	99	999	99	2009	T0710JX17458	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	8	1	12	0	0	0
201210713287	2	223.85142	1	4	4	3	1	1	0	1	19	40	14	0	2	0	55	33	4	2011	5NPEC4AC9BH1	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	8	1	12	0	0	0
201210713433	4	7.810128	1	2	16	3	1	3	0	1	11	15	12	1	3	0	54	421	15	2010	2HNYD2H68AH5	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	63	8	1	12	0	0	0
201210713440	2	226.493712	1	4	16	3	1	1	0	1	12	30	14	0	2	0	12	461	21	2003	1FBSS31L83HA	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	11	8	1	12	0	0	0
201210714133	1	223.85142	1	4	4	3	1	1	0	2	9	35	14	0	2	0	37	32	4	1998	1HGCG1654WA0	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	1	14	0	0	0
201210714145	1	4.974476	1	2	4	3	1	1	1	2	12	0	14	0	2	0	49	40	4	2001	4T1BG22K01U8	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	63	8	1	14	0	0	0
201210714189	2	224.814301	1	4	10	3	1	1	0	2	21	0	14	0	2	0	13	1	4	2003	1LNHM82W73Y6	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	82	8	1	14	0	0	0
201210714248	2	43.720116	1	5	21	3	1	1	0	3	4	40	14	0	2	0	41	54	6	2011	JM3TB3BV0B03	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	1	14	0	0	0
201210714613	3	4.783283	1	2	10	3	1	2	0	3	10	25	14	0	2	0	14	17	4	1999	1MEFM53S5XG6	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	62	8	1	14	0	0	0
